"EntraIDOperationName","MicrosoftGraphRequestUri","RequestMethod","EntraIDOperationVersion"
"Delete access package assignment request for a deleted user","https://graph.microsoft.com/v1.0/directoryObjects/getByIds","POST","1.0"
"Delete application","https://graph.microsoft.com/beta/applications/<UUID>/onPremisesPublishing","PATCH","1.0"
"Delete application","https://graph.microsoft.com/beta/applications/<UUID>","PATCH","1.0"
"Delete AuthenticationContextClassReference","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationContextClassReferences/c<ID>","DELETE","1.0"
"Delete conditional access policy","https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies/<UUID>","DELETE","1.0"
"Delete FIDO2 security key(s)","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/<ID>","DELETE","1.0"
"Delete passwordless phone sign-in credential","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups","POST","1.0"
"Delete passwordless phone sign-in credential","https://graph.microsoft.com/beta/users/<UUID>/authentication/methods/resetTraditionalAuthenticationMethods","POST","1.0"
"Delete passwordless phone sign-in credential","https://graph.microsoft.com/beta/users/<UUID>/authentication/microsoftAuthenticatorMethods/<UUID>","DELETE","1.0"
"Delete passwordless phone sign-in credential","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects","POST","1.0"
"Delete request","https://graph.microsoft.com/v1.0/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Delete SSL binding","https://graph.microsoft.com/edu/applications/<UUID>","PATCH","1.0"
"Delete SSL binding","https://graph.microsoft.com/beta/applications/<UUID>/onPremisesPublishing","PATCH","1.0"
"Delete Terms Of Use","https://graph.microsoft.com/v1.0/agreements('<UUID>')","DELETE","1.0"
"Delete Terms Of Use","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>/PolicyFiles/<UUID>/content","PUT","1.0"
"Delete Terms Of Use","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>/PolicyFiles/<UUID>","DELETE","1.0"
"Delete Terms Of Use","https://graph.microsoft.com/beta/directory/agreements/agreementId_<UUID>","DELETE","1.0"
"Delete Windows Hello for Business credential","https://graph.microsoft.com/beta/users/<UUID>/authentication/windowsHelloForBusinessMethods/<ID>","DELETE","1.0"
"Deny access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Disable application proxy","https://graph.microsoft.com/beta/onPremisesPublishingProfiles('applicationProxy')","PATCH","1.0"
"DismissUser","https://graph.microsoft.com/beta/identityProtection/riskyUsers/dismiss","POST","1.0"
"Enable application proxy","https://graph.microsoft.com/beta/onPremisesPublishingProfiles('applicationProxy')","PATCH","1.0"
"Entitlement Management removes access package assignment request for user","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments/<ID>","DELETE","1.0"
"Entitlement Management removes access package assignment request for user","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref","DELETE","1.0"
"Entitlement Management removes access package assignment request for user","https://graph.microsoft.com/beta/users/<UUID>","PATCH","1.0"
"Entitlement Management removes access package assignment request for user","https://graph.microsoft.com/beta/directoryObjects/getByIds","POST","1.0"
"Entitlement Management removes access package assignment request for user","https://graph.microsoft.com/beta/groups/<UUID>/owners/<UUID>/$ref","DELETE","1.0"
"Entitlement Management removes access package assignment request for user","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.assignLicense","POST","1.0"
"Entitlement Management removes access package assignment request for user","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments/EBNYzlrbf0m4Ih1PQ9Y6wl759qoElApOo1nyI9Ga<ID>","DELETE","1.0"
"Entitlement Management removes access package assignment request for user","https://graph.microsoft.com/beta/roleManagement/directory/roleAssignments/<ID>","DELETE","1.0"
"Execute custom extension","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref","DELETE","1.0"
"Execute custom extension","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Execute custom extension","https://graph.microsoft.com/beta/groups/<UUID>/owners/$ref","POST","1.0"
"Execute custom extension","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments","POST","1.0"
"Execute custom extension","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Extend access package assignment","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref","DELETE","1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/users/<UUID>","PATCH","1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/invitations","POST","1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.assignLicense","POST","1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/roleManagement/directory/roleAssignments","POST","1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/owners/$ref","POST","1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments","POST","1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/<UUID>/$ref","DELETE","1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref","POST","1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/invitations","POST","1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/roleManagement/directory/roleAssignments","POST","1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/users/<UUID>/appRoleAssignments","POST","1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/owners/$ref","POST","1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.assignLicense","POST","1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/users/<UUID>/microsoft.graph.getMemberGroups","POST","1.0"
